מושגים,אנגלית,משמעות,נושא,,,,
אבולוציה מתכנסת,," התפתחות מאפיינים דומים באופן שטחי, אצל יצורים ממוצא שונה ובאופן בלתי תלוי זה בזה.",כללי,,,,
תהליך הסוקצסיה,succession,"היא המהלך הטבעי של חילוף החברות בטבע, מחברת החלוץ ועד לחברת השיא",כללי,,,,
,top-down control,"תהליך של שינוי שקורה מלמטה או מלמעלה.
דוגמאות: מלמטה: בעיה בנטריוניטים באדמה משפיע על הדשא שפוגע בפרות
מלמעלה: היעדר הפרות גורם לצמיחה מוגזמת של דשא וכך פוגע בו",כימיה - אודי גזית,,,,
 נוקלאוטידים,,"קבוצה של תרכובות אורגניות הנמצאות בכל היצוריים החיים, לדוגמה ATP,לדוגמה קיים המטען הגנטי, ועוד",כימיה - אודי גזית,,,,
חומצות אמינו,,יחידת המבנה הבסיסית של חלבונים. קיימות 20 חומצות אמינו שונות המשותפות לכל החיים,כימיה - אודי גזית,,,,
קשר קוולנטי,covalent," נוצר כתוצאה ממפגש בין שני אטומים ושיתוף של האלקטרונים שלהם, משנה את תכונות החומר.
מתרחש ברמת האטום על מנת להשלים את המעטפת של האלקטרונים.",כימיה - אודי גזית,,,,
קשר גליקוזידי,,"קשר חמצני( של אטום חמצן) בין שתי מולקולות סוכר במבנה טבעתי  שבהיווצרותו יש דהירציה(שחרור של מוקלות מים).
",כימיה - אודי גזית,,,,
קשר אסטרי,Esters,"קשר קוולנטי בין גליצרול לחומצת שומן
",כימיה - אודי גזית,,,,
קשר פפטידי,,"קשר קוולנטי בין פחמן לבין חנקן, במהלכו נפלטת מולקולת מים
",כימיה - אודי גזית,,,,
גשרים דיסופידים,,קשרים קוולנטים חזקים המעצבים את מבנה החלבון,כימיה - אודי גזית,,,,
פוספודיאסטר,," קשר קוולנטי שמחבר בין הנוקלאוטידים השונים ליצירת המבנה של הפולינוקלאוטיד כך
שיש סוכר ופוספט שמסודרים לאורך הסליל.",כימיה - אודי גזית,,,,
