מושגים,אנגלית,משמעות,נושא
פתוגן,,מחולל מחלה,מערכת החיסון - עדית בן ברוך
,Microflora ,״חיידקים טובים״. הנמצאים בעיקר במערכת העיכול וחשובים לשמירה על פעילות תקינה של הגוף. הם לא מותקפים על ידי מערכת החיסון והמערכת יודעת להבין בין החיידקים.,מערכת החיסון - עדית בן ברוך
אימונולוגיה,,מערכת החיסון,מערכת החיסון - עדית בן ברוך
חיסון העדר,,כאשר אנשים לא מחוסנים מוגנים בפני הפתוגן כי כל הסביבה שלהם חוסנה,מערכת החיסון - עדית בן ברוך
מחלות אוטו-אימוניות ,,מחלות בהן מערכת החיסון תוקפת את תאי הגוף,מערכת החיסון - עדית בן ברוך
מערכת החיסון המולדת,Innate system,"זרוע במערכת החיסון, לא ספציפי לפתוגן מסוים, אלא פועל באופן רחב, וכן אין לו זיכרון חיסוני.",מערכת החיסון - עדית בן ברוך
מערכת החיסון הנרכשת,Adaptive system,,מערכת החיסון - עדית בן ברוך
נטורופיל ,,"תא של מערכת החיסון המולדת, בולע את כל סוגי הפתוגנים ומובילים לעיתים להתפתחות של דלקת.",מערכת החיסון - עדית בן ברוך
מנגנוני הגנה,Defenses Barrier,,מערכת החיסון - עדית בן ברוך
לימפוציטים,Lymphocyte,"תאי מערכת החיסון הנרכשת, מתחלקים לשני סוגים, תאי B ותאי T. אשר להם מולקולות שונות במעטפת שלהם, שמזהות באופן ספציפי פתוגנים",מערכת החיסון - עדית בן ברוך
תאי T,T cells,A lymphocyte that matures in the thymus. T cells include cells helping or suppressing immune responses. T lymphocytes confer cell-mediated immunity,מערכת החיסון - עדית בן ברוך
תאי T עוזרים,T helper cell,לימפוציטים בעלי מולקולת מעטפת CD4. מזהים את האניטגן בסביבת MHC class 2.  משתתפים במערכת החיסונית על ידי ייצור ציטוקנים המספקים עזרה לתאים אחרים של מערכת החיסון כמו תאי T או B והמקרופאגים,מערכת החיסון - עדית בן ברוך
תאי T הורג/ ציטוטוקסי,Cytotoxic T cell(CTL),לימפוציטים בעלי מולקולת מעטפת CD8. מזהים את האניטגן בסביבת MHC class 1.  משתתפים במערכת החיסונית על ידי הריגת התא שנפגע עם הפתוגן ,מערכת החיסון - עדית בן ברוך
CTL פרקורסור של ,CTL-P (precursor) ,נקרא גם Tc. לימפוציטים בעלי מולקולת מעטפת CD8. מתפתח לתא T ציטוטוקסי. אחרי שזיהה אנטיגן,מערכת החיסון - עדית בן ברוך
חיסונים במנות דחף ,,"לפעמים תאי הזכרון של חיסון לא נשארים בגול להרבה שנים, ולכן יש צורך לעשות חיסון חוזר, חיסונים אלו נקראים חיסונים במנות דחף",מערכת החיסון - עדית בן ברוך
מערכות מוקוזליות ,,"מערכות בעלות תאים מפרישים לדוגמה: מערכת העיכול, עיניים ועוד",מערכת החיסון - עדית בן ברוך
,villi/ villus,סוג של זקיקים המדומים לאצבעות שיכולות להוציא פתוגנים החוצה על ידי תנועה. נמצא במערכות במוקוזליות,מערכת החיסון - עדית בן ברוך
מקרופאגים,,"תא של מערכת החיסון המולדת, מסלקים מנוזלי הגוף חלקיקים זרים ופתוגנים על ידי בליעתם ופירוקם. אינם זהים לנוטורופילים ",מערכת החיסון - עדית בן ברוך
