מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,חשיבות לסדר,קישור לתמונה,מי הוסיפ/ה,הערות
בחנים ותרגולים מהמודל,מה נכון לגבי ליפידים?,נדרשים קשרים קוולנטים בין פוספוליפידים לייצוב הממברנה,כל סוגי הליפידים מכילים פוספאט,הפוספוליפידים מסונתזים על גבי ממברנת ה- ER,פיזור הליפידים הוא אחיד בין כל הממברנות בתא,,,3,ממברנות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,סמנו את המשפט הלא נכון.,שלב ה- commitment של בניית ליפידים הוא חיבור בין הגליצרול לחומצת שומן,ממברנות נבנות על ידי הרחבה של ממברנות קיימות,הארכת חומצות שומן מעבר ל- 16 פחמנים מתבצעת לאחר שחרור palmitate מה- Fatty Acid Synthase,לטרנספורט באמצעות וזיקולות יש תפקיד חשוב בחלוקת ליפידים בין אברונים שונים.,,,1,ממברנות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה לא נכון לגבי Acetyl CoA?,האצטיל קשור בקשר עתיר אנרגיה,מכיל נוקלאוטיד,משמש ליצירת חומצות שומן,נמצא רק בציטוזול,,,4,ממברנות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מהו התפקיד של NADPH?,מחמצן פחמן ביצירת חומצות שומן,תורם אלקטרונים בתהליך הפקת אנרגיה,מחזר פחמן ביצירת חומצות שומן,מקבל אלקטרונים בפירוק של גלוקוז,,,3,ממברנות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,סמנו את המשפט השגוי.,"אתנולאמין, כולין וסרין הם חלק מהראשים שמצומדים לפוספו-גליצרידים",חומצות שומן מורכבות משרשראות פחמן-מימן בעלות מספר פחמנים בכפולות של שתיים,אנזימים מסוג פוספוליפאזות יכולים לשנות את מבנה חומצות השומן וכך להשפיע על הרכב הממברנה בסביבתם,אזור עשיר בפוספו-גליצרידים מצומדים לסרין גורם למטען חיובי מקומי,,,4,ממברנות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,סמנו את המשפט הנכון בסינתזת חומצות שומן,האנזים AMPK מעביר את התא מבנייה של חומצות שומן לשריפה של חומצות שומן ולהיפך,בעת הארכת חומצות השומן יש חמצון של פחמנים,האנזים Acetyl CoA פעיל כאשר הוא מזורחן,הארכת חומצות שומן נעשית בכפולות של שלושה פחמנים כל פעם,,,1,ממברנות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,סמנו את המשפט השגוי,האנזים LKB1 מוריד את קבוצת הפוספט מהאנזים AMPK,רמת AMP גבוהות מובילות לחמצון חומצות שומן,רמות ATP גבוהות מובילות לסינתזת חומצות שומן נוספות,האנזים AMPK מזרחן את האנזים Acetyl CoA Carboxylase,,,1,ממברנות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,סמן את המשפט השגוי,פלופאז מעביר חומצות שומן מהשכבה שפונה לצד הציטוזולי לשכבה שפונה לצד החיצוני,פליפאז מעביר חומצות שומן מסוג פוספטידילסרין מהשכבה שפונה לצד החיצוני לשכבה שפונה לצד הציטוזולי,פליפאז מעביר חומצות שומן מסוג פוספטידילאתנולאמין מהשכבה שפונה לצד הציטוזולי לשכבה שפונה לצד החיצוני,פעילות הטרנספורטר פלופאז גורמת לפיזור אחיד של חומצות שומן בין שתי שכבות הממברנה,,,3,ממברנות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,מה נכון לגבי האנזים Acetyl-CoA?,רמות גבוהות של Palmitoyl-CoA מעכבות את פעילות האנזים,מעודד את פעילות האנזים AMPK,אחראי להמרת Malonyl-CoA ל- Acetyl CoA,אחראי ליצירת מולקולה דו-פחמנית המשמשת לבניית חומצות שומן,,,1,ממברנות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,כמה פסים (bands) יופיעו לאחר הרצת תוצרי immunoprecopitation של חלבון X בתנאים מחזרים ב- SDS-PAGE?,לא ניתן להריץ את התוצרים ב- SDS-PAGE,3,2,4,1,,2,שיטות אימוניות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,כמה פסים יופיעו לאחר הרצת IgG ב- SDS-PAGE מחזר וצביעת Coomassie?,1,2,3,4,,,2,שיטות אימוניות,FALSE,,ענבל,בוחן 1
בחנים ותרגולים מהמודל,ממה מורכב נוגדן IgG?,2 שרשראות קלות ו- 4 שרשראות כבדות,4 שרשראות קלות ו- 2 שרשראות כבדות,2 שרשראות קלות ו- 2 שרשראות כבדות,"כל התשובות אפשריות, תלוי איזה חלבון הנוגדן מזהה",,,3,שיטות אימוניות,FALSE,,ענבל,בוחן 1
