מקור,שאלה,תשובה 1,תשובה 2,תשובה 3,תשובה 4,תשובה 5,תשובה 6,תשובות נכונות,נושא,הערות
מודל - בוחן ראשון,איזה מהבאים מהווה דוגמא ל- bioremediation?,הוספה של מיקראורגניזמים שפעולתם מנמיכה את החשיפה לאורניום וכרומיום,שימוש בדחפורים על מנת ליצור מכרות להוצאת מינרלים מן הקרקע,להטות זרימה של נהר על מנת לשקם סביבה שניזוקה,הוספה של מיקרואורגניזמים מקבעי חנקן לסביבה על מנת להעלות את זמינותו,,,1,אקולוגיה,
מודל - בוחן ראשון,מה המשפט הלא נכון בנוגע למגוון המינים על איים:,"ככל שהאי גדול יותר, הסיכוי להכחדת מין נמוך יותר","ככל שהאי מבודד יותר, יהיו בו יותר מינים","ככל שמספר המינים באי באי גדול יותר, הסיכוי להגירת מין חדש קטן יותר",עושר המינים יהיה הגבוה ביותר באי גדול שקרוב ליבשת,,,2,אקולוגיה,
מודל - בוחן ראשון,"בדוגמא של הציפור ממין שכווי ערבות, מהי הסיבה העיקרית לכך שהמין בסכנת הכחדה באילנוי?","תחרות עם מינים דומים, שהביא האדם ממקומות אחרים בצפון אמריקה",גודל אוכלוסיה מקורי גדול גרם לניצול יתר של משאבים ולכן האוכלוסיה נהייתה יותר ויותר מצומצמת,בעיה בפוריות שגרמה לגודל אוכלוסיה קטן ומגוון גנטי מצומצם,בית גידול שלא היה מותאם לצרכים של ציפורים ממין זה,,,3,אקולוגיה,
מודל - בוחן ראשון,"איזו רמת תדירות של הפרעה (disturbance) לסביבה, צפויה לגרום למגוון המינים הגבוה ביותר בסביבה מסויימת?",תדירות ביניים,"תדירות הפרעה מינימלית, כזו שלא משנה את הרכב החברה",תדירות גבוהה,תדירות הפרעה לא משפיעה על המינים בצורה צפויה,,,1,אקולוגיה,
מודל - בוחן ראשון,לאיזה מהבאים יש את ההשפעה הרבה ביותר על קצב של מעגלים ביוכימיים?,יעילות טרופית של האקוסיסטמה,מיקום מאגרי הנוטריינטים באקוסיסטמה,קצב פירוק החומרים באקוסיסטמה,יעילות הייצור של הצרכנים באקוסיסטמה,,,3,אקולוגיה,
מודל - בוחן ראשון,מהו האיום המשמעותי ביותר על המגוון הביולוגי?,"זיהום של האוויר, המים והקרקע בכדור הארץ",הכרת מינים חדשים שמתחרים עם מינים מקומיים,ניצול יתר של מינים הרגישים להכחדה,הרס בתי גידול,,,4,אקולוגיה,
מודל - בוחן ראשון,ההבדל בין הייצור הראשוני ברוטו (Gross primary production) לייצור הראשוני נטו (Net primary production) הוא:,היחס בין ביומסת היצרנים לזו של הצרכנים,GPP הוא ברמת התא ו- NPP ברמת האורגניזם,האנרגיה שיצרנים ראשוניים משקיעים במטבוליזם ונשימה,האנרגיה שמאוחסנת ברקמה צמחית,,,3,אקולוגיה,
מודל - בוחן ראשון,איזו מהדוגמאות הבאות מבטאות top-down control?,השפעה של טמפרטורה על תחרות בין צמחים,השפעה של כמות הצוף בצמח על הכשירות של הדבורה,"השפעה של היקף הרעייה (grazing) ע""י הבייזון על מגוון הצמחייה",כל התשובות נכונות,,,3,אקולוגיה,
מודל - בוחן ראשון,מה הוא התפקיד החשוב ביותר של אורגניזמים המבצעים פוטוסינתזה במערכת אקולוגית?,ייצור רקב עבור אורגניזמים מפרקים,המרת חומרים אנאורגניים לחומרים אורגנים,ספיגה של קרינה מזיקה מהשמש,"ייצור נוטריינטים שונים, בעיקר חנקן וזרחן",,,2,אקולוגיה,
מודל - בוחן ראשון,מה מהבאים אינו נכון בנוגע למעגל החנקן?,בתהליך דניטריפיקציה חנקן משתחרר חזרה לאטמוספירה,"בגלל שמעגל החנקן הינו תהליך טבעי, לאדם אין השפעה על תהליך בסדר גודל שכזה",ניטריפיקציה הוא תהליך בו אמוניה מתחמצנת ומתקבל ניטראט,תוספת חנקן לבית הגידול גורמת לצמצום מגוון המינים,,,2,אקולוגיה,
